100,5.8,2.7,5.1,1.9,3
58,5.2,2.7,3.9,1.4,2
66,5.8,2.7,4.1,2.0,2
10,4.8,3.4,1.6,0.2,1
86,6.3,2.3,4.4,1.3,2
50,6.4,3.2,4.5,1.5,2
6,2.0,3.4,1.5,0.2,1
135,6.3,3.4,5.6,2.4,3
104,7.6,2.0,6.6,2.1,3
11,4.8,2.0,1.4,0.1,1
56,4.9,2.4,3.3,2.0,2
2,4.6,3.1,1.5,0.2,1
46,4.6,3.2,1.4,0.2,1
87,5.6,2.0,4.1,1.3,2
70,6.1,2.8,4.0,1.3,2
99,6.3,3.3,6.0,2.5,3
42,2.0,3.5,1.6,0.6,1
101,7.1,2.0,5.9,2.1,3
144,6.7,2.0,5.2,2.3,3
108,7.2,3.6,6.1,2.5,3
69,5.9,3.2,4.8,1.8,2
93,5.6,2.7,4.2,1.3,2
17,5.7,3.8,1.7,0.3,1
44,4.8,2.0,1.4,0.3,1
107,6.7,2.5,5.8,1.8,3
45,5.1,3.8,1.6,0.2,1
34,2.0,3.2,1.2,0.2,1
118,3.0,2.2,5.0,1.5,3
92,2.0,2.3,3.3,2.0,2
1,4.7,3.2,1.3,0.2,1
116,7.7,3.8,6.7,2.2,3
115,6.5,2.0,5.5,1.8,3
40,4.5,2.3,1.3,0.3,1
88,5.5,2.5,4.0,1.3,2
97,5.1,2.5,3.0,1.1,2
102,6.3,2.9,5.6,1.8,3
134,7.7,2.0,6.1,2.3,3
81,5.8,2.7,3.9,1.2,2
60,5.9,2.0,4.2,1.5,2
140,6.9,3.1,5.1,2.3,3
36,4.9,3.1,1.5,0.1,1
25,2.0,3.4,1.6,0.4,1
136,6.4,3.1,5.5,1.8,3
31,5.2,4.1,1.5,0.1,1
72,6.1,2.8,4.7,1.2,2
137,3.0,2.0,4.8,1.8,3
85,6.7,3.1,4.7,1.5,2
142,6.8,3.2,5.9,2.3,3
146,6.5,2.0,5.2,3.0,3
117,7.7,2.6,6.9,2.3,3
114,6.4,3.2,5.3,2.3,3
22,5.1,3.3,1.7,0.5,1
64,6.7,3.1,4.4,1.4,2
21,4.6,3.6,1.0,0.2,1
82,3.0,2.7,5.1,1.6,2
43,5.1,3.8,1.9,0.4,1
24,2.0,2.0,1.6,0.2,1
95,5.7,2.9,4.2,1.3,2
3,2.0,3.6,1.4,0.2,1
63,5.6,2.9,3.6,1.3,2
78,5.7,2.6,3.5,2.0,2
84,3.0,3.4,4.5,1.6,2
59,2.0,1.0,3.5,2.0,2
62,6.1,2.9,4.7,1.4,2
110,6.4,2.7,5.3,1.9,3
51,6.9,3.1,4.9,1.5,2
94,5.7,2.0,4.2,1.2,2
61,3.0,2.2,4.0,2.0,2
121,7.7,2.8,6.7,3.0,3
105,4.9,2.5,4.5,1.7,3
53,6.5,2.8,4.6,1.5,2
143,6.7,3.3,5.7,2.5,3
90,6.1,2.0,4.6,1.4,2
38,5.1,3.4,1.5,0.2,1
0,4.9,2.0,1.4,0.2,1
147,6.2,3.4,5.4,2.3,3
41,4.4,3.2,1.3,0.2,1
18,5.1,3.8,1.5,0.3,1
39,2.0,3.5,1.3,0.3,1
98,5.7,2.8,4.1,1.3,2
57,6.6,2.9,4.6,1.3,2
47,5.3,3.7,1.5,0.2,1
49,4.0,3.2,4.7,1.4,2
37,4.4,2.0,1.3,0.2,1
119,6.9,3.2,5.7,2.3,3
8,4.9,3.1,1.5,0.1,1
32,5.5,4.2,1.4,0.2,1
80,5.5,2.4,3.7,2.0,2
7,4.4,2.9,1.4,0.2,1
